Comparison,Gene,logFC,p_value,-log10(p_value),Regulation
Osteosarcoma vs Liposarcoma,SARC_GENE_051,-0.28943205,0.08877305,1.0517188,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_034,0.31999445,0.09099213,1.0409962,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_126,0.3136835,0.10002414,0.99989516,Not Significant
Osteosarcoma vs Liposarcoma,MYH3,-0.3345089,0.10048213,0.99791116,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_109,-0.33189106,0.1069031,0.97100973,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_030,0.29710484,0.10890687,0.9629447,Not Significant
Osteosarcoma vs Liposarcoma,MMP2,0.3084092,0.11095733,0.954844,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_017,0.31471968,0.11379095,0.94389224,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_113,-0.31458092,0.115708254,0.9366357,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_166,0.2713275,0.11934188,0.9232071,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_176,0.30766058,0.12124658,0.9163305,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_073,0.31589985,0.13074632,0.88357055,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_148,0.30018806,0.13572678,0.8673345,Not Significant
Osteosarcoma vs Liposarcoma,TAGLN,-0.29399204,0.15850727,0.79995084,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_035,0.27844572,0.15909879,0.7983331,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_099,-0.24820852,0.15946083,0.797346,Not Significant
Osteosarcoma vs Liposarcoma,MKI67,-0.25306368,0.16855702,0.7732532,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_027,-0.2606759,0.1710219,0.7669483,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_122,-0.27499866,0.17391524,0.7596624,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_059,-0.27989912,0.17577039,0.7550543,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_159,0.244308,0.18339564,0.736611,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_061,0.23332071,0.18342249,0.7365474,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_064,-0.26234102,0.1899512,0.72135794,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_141,-0.23893976,0.19322376,0.7139395,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_124,0.26889706,0.19854015,0.70215166,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_021,-0.2333479,0.21008049,0.6776143,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_175,0.20325375,0.21185566,0.6739599,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_066,-0.2400136,0.21269928,0.672234,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_014,-0.22772455,0.21702632,0.6634876,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_065,0.234694,0.22003563,0.657507,Not Significant
Osteosarcoma vs Liposarcoma,DES,-0.2618804,0.22476925,0.6482631,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_031,-0.23998785,0.22515649,0.64751554,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_094,-0.22380352,0.23245952,0.6336527,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_077,-0.2587371,0.2365053,0.62615913,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_134,0.22536373,0.23654254,0.62609076,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_151,-0.21957159,0.24140796,0.6172484,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_129,-0.2137599,0.24162391,0.6168601,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_033,-0.18445063,0.24520116,0.6104775,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_022,0.24381065,0.24579127,0.60943353,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_125,0.22660303,0.24600394,0.60905796,Not Significant
Osteosarcoma vs Liposarcoma,MYOD1,-0.2088623,0.2468289,0.60760397,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_015,0.22875929,0.24880613,0.6041389,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_060,0.20121336,0.25724816,0.58964777,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_144,0.2213707,0.26404595,0.5783205,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_076,-0.22826862,0.2666524,0.57405454,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_049,0.19577837,0.26800215,0.57186174,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_137,0.20822525,0.2750767,0.5605463,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_088,-0.2218132,0.28308842,0.54807794,Not Significant
Osteosarcoma vs Liposarcoma,TP53,-0.19030285,0.28330094,0.547752,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_028,0.21334982,0.2899357,0.53769827,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_044,-0.22207594,0.29546148,0.5294992,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_092,-0.18370199,0.29588634,0.5288751,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_165,0.197011,0.30162233,0.52053654,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_039,0.19473076,0.32097337,0.493531,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_089,-0.17654848,0.32621136,0.48650092,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_005,0.15777588,0.32705274,0.4853822,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_012,-0.18730927,0.33291137,0.47767138,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_173,0.16401434,0.334259,0.4759169,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_011,-0.17672396,0.33706763,0.47228295,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_074,0.19532204,0.3374694,0.4717656,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_130,-0.19405699,0.33829412,0.47070557,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_179,0.15756035,0.34327525,0.4643575,Not Significant
Osteosarcoma vs Liposarcoma,ACTA2,-0.18623972,0.3439122,0.46355242,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_153,-0.16339254,0.34548208,0.4615745,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_163,-0.14331818,0.34961957,0.45640427,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_024,-0.16893005,0.35084227,0.4548881,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_178,0.1521802,0.3574901,0.44673598,Not Significant
Osteosarcoma vs Liposarcoma,CDKN2A,0.18993473,0.35763213,0.44656348,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_084,0.19166613,0.35909262,0.44479352,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_146,0.18660355,0.36424974,0.43860078,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_003,-0.16075897,0.36897177,0.43300688,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_054,0.18477201,0.36963332,0.4322289,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_111,-0.16212273,0.37838846,0.4220621,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_041,0.16132736,0.38890493,0.41015655,Not Significant
Osteosarcoma vs Liposarcoma,TNNT3,-0.15617609,0.3952178,0.4031635,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_018,0.15912676,0.39879078,0.39925492,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_118,-0.16041517,0.39970568,0.3982597,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_098,-0.17324686,0.40778226,0.38957167,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_052,0.15542412,0.409042,0.3882321,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_025,0.14434719,0.41005838,0.3871543,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_154,-0.14831448,0.4180347,0.37878767,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_104,0.14279652,0.4341276,0.3623826,Not Significant
Osteosarcoma vs Liposarcoma,MYLK,-0.14537811,0.43416923,0.36234096,Not Significant
Osteosarcoma vs Liposarcoma,MYF5,-0.12707996,0.44249883,0.35408786,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_043,-0.18752384,0.44421104,0.35241064,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_056,0.12886381,0.45667046,0.3403971,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_171,0.118079185,0.4658183,0.33178347,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_110,0.16020918,0.48281795,0.3162166,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_075,-0.12479639,0.48486406,0.31438002,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_067,-0.12787342,0.48869038,0.31096622,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_131,-0.14633131,0.4919299,0.3080968,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_083,0.13635874,0.49388048,0.30637813,Not Significant
Osteosarcoma vs Liposarcoma,MYOG,-0.16046047,0.4988767,0.30200678,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_119,0.13354301,0.5096015,0.2927693,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_078,-0.12086487,0.5239046,0.28074777,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_139,-0.11450148,0.52554667,0.27938873,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_086,-0.12548828,0.5303691,0.2754218,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_057,0.11580086,0.53189665,0.27417275,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_149,0.11269379,0.54518306,0.26345766,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_032,0.10113859,0.54904425,0.26039267,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_133,0.08594704,0.5585681,0.25292385,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_006,-0.12907743,0.5595654,0.25214913,Not Significant
Osteosarcoma vs Liposarcoma,PAX3,0.11347294,0.5613595,0.25075892,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_123,-0.08220053,0.5701668,0.24399807,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_116,-0.10616064,0.57332253,0.24160099,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_120,-0.11072445,0.5751034,0.24025407,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_174,-0.09688282,0.58055687,0.23615524,Not Significant
Osteosarcoma vs Liposarcoma,PTEN,-0.110518456,0.58867437,0.23012489,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_079,0.12161541,0.59625703,0.2245665,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_062,0.101974964,0.5997212,0.22205062,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_095,-0.12378502,0.60108805,0.2210619,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_103,-0.09909725,0.60282594,0.21980807,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_081,-0.09577513,0.60514253,0.21814233,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_114,0.09534311,0.6132503,0.21236223,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_045,-0.11143017,0.6145468,0.21144506,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_087,-0.09855652,0.6179905,0.20901822,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_093,0.08463287,0.62592727,0.20347613,Not Significant
Osteosarcoma vs Liposarcoma,PAX7,0.100277424,0.6276105,0.2023098,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_007,0.09442854,0.631005,0.1999672,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_010,0.10710096,0.6326628,0.19882771,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_080,0.08589935,0.6330979,0.19852914,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_136,-0.10091305,0.6367073,0.19606018,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_070,-0.087087154,0.65806794,0.18172927,Not Significant
Osteosarcoma vs Liposarcoma,RB1,-0.0888505,0.66127807,0.17961589,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_140,0.073358536,0.66834146,0.1750016,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_020,-0.077451706,0.66899407,0.17457773,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_107,-0.082915306,0.67988694,0.1675633,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_004,-0.07642794,0.6851913,0.16418818,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_090,-0.077969074,0.69034183,0.16093582,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_158,0.083922386,0.6966769,0.15696858,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_132,-0.07656288,0.69719934,0.15664303,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_164,-0.070987225,0.69829464,0.15596129,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_047,0.07362032,0.7162915,0.14491022,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_063,-0.066907406,0.7176211,0.14410481,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_108,-0.06702614,0.7263054,0.13888071,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_001,-0.06735563,0.73350805,0.13459511,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_053,0.061579227,0.73718446,0.13242383,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_112,-0.06742144,0.7442028,0.12830871,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_068,-0.05607605,0.7485503,0.12577902,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_019,-0.050545216,0.75055546,0.12461722,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_082,0.061846256,0.7554982,0.12176659,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_161,-0.057282448,0.763933,0.11694473,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_040,0.05963993,0.7644661,0.11664176,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_046,-0.06407881,0.76607084,0.11573107,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_147,-0.050552845,0.7690696,0.11403435,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_102,-0.058793068,0.7747197,0.11085539,Not Significant
Osteosarcoma vs Liposarcoma,MMP9,0.05513239,0.7760036,0.11013627,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_168,0.057011604,0.7821796,0.10669352,Not Significant
Osteosarcoma vs Liposarcoma,CALD1,0.059440136,0.7978717,0.09806693,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_150,0.05091381,0.8048283,0.094296776,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_162,-0.050501347,0.80716914,0.09303545,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_097,-0.04219961,0.8095773,0.09174169,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_117,-0.039722443,0.8122151,0.09032895,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_115,0.039305687,0.8149471,0.08887057,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_145,-0.036163807,0.8188507,0.08679528,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_156,0.04903221,0.8232847,0.08444996,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_127,0.03405142,0.8291609,0.081361175,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_152,0.044636726,0.8317844,0.07998922,Not Significant
Osteosarcoma vs Liposarcoma,CNN1,0.039036274,0.8324383,0.07964796,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_085,0.042063713,0.84031594,0.0755574,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_029,0.041630745,0.840735,0.07534087,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_038,0.04176283,0.8493168,0.0709303,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_143,-0.037355423,0.86098546,0.065004185,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_100,-0.033884525,0.86317974,0.063898765,Not Significant
Osteosarcoma vs Liposarcoma,CCND1,-0.027105331,0.8679096,0.061525505,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_121,-0.025851727,0.8717749,0.059595637,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_101,0.029926777,0.8720298,0.059468683,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_050,0.031066895,0.8757295,0.057630025,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_055,0.031764984,0.8788706,0.05607506,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_138,0.025547504,0.8869254,0.052112907,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_013,0.031071663,0.897678,0.04687941,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_160,-0.025709152,0.8986441,0.04641228,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_069,-0.023152351,0.90119785,0.04517985,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_009,0.021835327,0.90334785,0.044144988,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_169,-0.018885136,0.9220392,0.035250608,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_096,0.01859665,0.9268482,0.0329914,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_023,-0.017343044,0.92808586,0.032411844,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_180,-0.015882492,0.93596303,0.028741304,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_135,0.012145042,0.9459578,0.024128247,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_155,-0.013478279,0.94834507,0.023033611,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_106,-0.011365414,0.9487728,0.02283778,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_002,0.007976532,0.9656175,0.015194883,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_026,-0.005159378,0.97826177,0.009544918,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_042,0.005399704,0.97931516,0.009077522,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_036,-0.003988266,0.98215425,0.0078203,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_105,-0.003531456,0.9855514,0.0063207136,Not Significant
Osteosarcoma vs Liposarcoma,SARC_GENE_072,0.0031599998,0.9859748,0.00613419,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,ALPL,3.0704827,4.592055e-25,24.337994,Higher in Osteosarcoma
Osteosarcoma vs Rhabdomyosarcoma,MYOD1,-3.0384774,3.6101853e-24,23.44247,Higher in Rhabdomyosarcoma
Osteosarcoma vs Rhabdomyosarcoma,PAX7,-2.8687425,2.03855e-21,20.69068,Higher in Rhabdomyosarcoma
Osteosarcoma vs Rhabdomyosarcoma,PAX3,-2.7129688,2.8810796e-21,20.540445,Higher in Rhabdomyosarcoma
Osteosarcoma vs Rhabdomyosarcoma,IBSP,2.849328,7.64503e-21,20.116621,Higher in Osteosarcoma
Osteosarcoma vs Rhabdomyosarcoma,TNNT3,-2.285194,8.50253e-21,20.070452,Higher in Rhabdomyosarcoma
Osteosarcoma vs Rhabdomyosarcoma,COL1A1,2.6703916,1.1073648e-19,18.95571,Higher in Osteosarcoma
Osteosarcoma vs Rhabdomyosarcoma,MYH3,-2.6805534,4.473668e-19,18.349337,Higher in Rhabdomyosarcoma
Osteosarcoma vs Rhabdomyosarcoma,MYOG,-3.1477337,8.2970036e-19,18.08108,Higher in Rhabdomyosarcoma
Osteosarcoma vs Rhabdomyosarcoma,RUNX2,2.7173572,1.4601609e-17,16.8356,Higher in Osteosarcoma
Osteosarcoma vs Rhabdomyosarcoma,MYF5,-2.1058226,2.0494312e-16,15.688367,Higher in Rhabdomyosarcoma
Osteosarcoma vs Rhabdomyosarcoma,DES,-2.3010674,4.5644268e-15,14.340613,Higher in Rhabdomyosarcoma
Osteosarcoma vs Rhabdomyosarcoma,MMP13,1.9328084,1.23649234e-14,13.907808,Higher in Osteosarcoma
Osteosarcoma vs Rhabdomyosarcoma,BGLAP,2.2261872,5.8768643e-14,13.230854,Higher in Osteosarcoma
Osteosarcoma vs Rhabdomyosarcoma,SP7,2.0698252,6.382975e-14,13.194977,Higher in Osteosarcoma
Osteosarcoma vs Rhabdomyosarcoma,VEGFA,2.0926328,5.0368116e-11,10.297844,Higher in Osteosarcoma
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_172,0.5602336,0.0014474646,2.839392,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_015,0.6118965,0.0025543899,2.5927129,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_037,-0.47335958,0.010043025,1.9981354,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_071,-0.5516596,0.012386077,1.9070662,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_018,0.4364152,0.02003782,1.6981496,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_129,-0.4569149,0.02032208,1.6920319,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,CEBPA,0.46614504,0.02137209,1.670153,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,MDM2,0.3914132,0.0244729,1.6113145,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_058,-0.3781519,0.02667802,1.5738465,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_178,0.356225,0.030061694,1.5219866,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_135,0.36634588,0.032415282,1.4892502,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_051,-0.41480064,0.03398668,1.4686912,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_157,0.39186144,0.038531017,1.4141896,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_073,0.3866849,0.040365122,1.3939937,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_091,0.4066739,0.043801732,1.3585087,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_062,0.3451233,0.04596698,1.337554,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_159,0.3663354,0.0476384,1.3220428,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_021,-0.36540937,0.049326573,1.3069191,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_092,-0.39066458,0.0536315,1.27058,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_088,-0.4238677,0.059908867,1.2225089,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_164,-0.3738141,0.059968125,1.2220795,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_013,0.40402126,0.065148555,1.1860952,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_075,0.27043438,0.070302606,1.1530286,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,MYH11,-0.35483456,0.0703098,1.1529841,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_008,-0.35392237,0.07169931,1.144485,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_170,-0.35327053,0.07346298,1.1339315,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_064,-0.34321404,0.073813096,1.1318666,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_122,-0.41319418,0.07428142,1.1291199,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_084,0.33797598,0.08277675,1.0820917,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_012,-0.33036804,0.09165434,1.037847,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_076,-0.32459784,0.09994109,1.000256,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_044,-0.33997488,0.10351464,0.9849982,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_060,0.32036257,0.10543582,0.9770118,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_026,-0.30924463,0.108717695,0.96369976,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_048,-0.27806234,0.1094674,0.9607152,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_020,-0.2824483,0.10975611,0.9595713,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_005,0.26910877,0.11974857,0.9217297,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,CDKN2A,0.32106352,0.12835483,0.89158773,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_011,-0.30068684,0.13135563,0.8815513,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_078,0.35369205,0.1318523,0.87991226,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_065,0.2826972,0.13216127,0.87889576,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,MMP2,0.29352188,0.14743787,0.831391,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_132,0.28526878,0.1550763,0.80945456,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_099,-0.26006317,0.1668534,0.77766496,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_137,0.24722147,0.1741942,0.7589663,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_134,0.218606,0.17759617,0.7505664,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_028,0.2935176,0.18217704,0.73950636,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_067,-0.24514484,0.18235585,0.7390803,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_033,0.21129465,0.19964328,0.6997453,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_010,0.28901768,0.20232408,0.69395244,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_017,0.23544931,0.21580154,0.6659455,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_066,-0.22790575,0.21627918,0.6649853,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,TAGLN,-0.23505926,0.23095497,0.6364727,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_019,0.18656397,0.23876812,0.62202364,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_180,-0.2290678,0.24064603,0.6186213,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_165,0.25258493,0.24104244,0.6179065,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_113,-0.22807932,0.2415793,0.6169403,Not Significant
