Subtype,Gene,logFC,p_value,-log10(p_value),Regulation
Leiomyosarcoma,SARC_GENE_159,-0.1386733,0.36031535,0.44331723,Not Significant
Leiomyosarcoma,CCND1,0.14999914,0.36073655,0.44280985,Not Significant
Leiomyosarcoma,SARC_GENE_040,0.13572693,0.36548984,0.43712467,Not Significant
Leiomyosarcoma,SARC_GENE_012,-0.13498068,0.36563662,0.43695033,Not Significant
Leiomyosarcoma,SARC_GENE_002,0.13927794,0.3678802,0.4342936,Not Significant
Leiomyosarcoma,SARC_GENE_042,-0.15263605,0.37586355,0.4249698,Not Significant
Leiomyosarcoma,SARC_GENE_071,0.1559906,0.3891262,0.40990952,Not Significant
Leiomyosarcoma,PTEN,-0.14324474,0.39064032,0.40822294,Not Significant
Leiomyosarcoma,SARC_GENE_126,0.12518787,0.3925607,0.40609318,Not Significant
Leiomyosarcoma,SARC_GENE_092,-0.12912655,0.41625482,0.38064072,Not Significant
Leiomyosarcoma,SARC_GENE_161,0.13357067,0.4216051,0.37509412,Not Significant
Leiomyosarcoma,SARC_GENE_009,0.12294674,0.42593145,0.3706603,Not Significant
Leiomyosarcoma,SARC_GENE_157,-0.12585735,0.4262566,0.3703289,Not Significant
Leiomyosarcoma,SARC_GENE_121,-0.12498236,0.4301315,0.36639875,Not Significant
Leiomyosarcoma,SARC_GENE_053,-0.11214876,0.435698,0.36081442,Not Significant
Leiomyosarcoma,SARC_GENE_067,-0.12049055,0.4457014,0.35095602,Not Significant
Leiomyosarcoma,SARC_GENE_150,0.10466719,0.45225126,0.34462023,Not Significant
Leiomyosarcoma,SARC_GENE_112,0.11422968,0.45724222,0.33985367,Not Significant
Leiomyosarcoma,SARC_GENE_021,-0.12463808,0.46421185,0.33328378,Not Significant
Leiomyosarcoma,SARC_GENE_028,-0.11174774,0.4766506,0.32179987,Not Significant
Leiomyosarcoma,SARC_GENE_135,-0.09368038,0.48564687,0.3136794,Not Significant
Leiomyosarcoma,SARC_GENE_151,-0.1015172,0.48756236,0.31196982,Not Significant
Leiomyosarcoma,SARC_GENE_065,-0.1074152,0.48905855,0.31063914,Not Significant
Leiomyosarcoma,SARC_GENE_037,0.12747526,0.49055186,0.3093151,Not Significant
Leiomyosarcoma,SARC_GENE_085,0.10206747,0.49235466,0.30772194,Not Significant
Leiomyosarcoma,SARC_GENE_166,0.11043215,0.49570817,0.30477393,Not Significant
Leiomyosarcoma,SARC_GENE_058,0.093155384,0.49728054,0.30339855,Not Significant
Leiomyosarcoma,SARC_GENE_050,-0.106019974,0.5018293,0.29944396,Not Significant
Leiomyosarcoma,SARC_GENE_008,0.107087135,0.5156716,0.2876268,Not Significant
Leiomyosarcoma,SARC_GENE_168,0.099398136,0.5160915,0.28727326,Not Significant
Leiomyosarcoma,SARC_GENE_163,-0.093168736,0.5166155,0.28683257,Not Significant
Leiomyosarcoma,SARC_GENE_101,0.10777998,0.5180491,0.28562906,Not Significant
Leiomyosarcoma,SARC_GENE_011,0.102399826,0.5198358,0.2841338,Not Significant
Leiomyosarcoma,SARC_GENE_079,0.11196375,0.52385193,0.28079146,Not Significant
Leiomyosarcoma,SARC_GENE_063,0.09796047,0.53318864,0.2731191,Not Significant
Leiomyosarcoma,SARC_GENE_162,0.08600283,0.53706694,0.26997158,Not Significant
Leiomyosarcoma,SARC_GENE_136,-0.095918655,0.53992844,0.2676638,Not Significant
Leiomyosarcoma,SARC_GENE_027,0.094283104,0.5423122,0.26575065,Not Significant
Leiomyosarcoma,SARC_GENE_064,0.10343695,0.5431163,0.26510718,Not Significant
Leiomyosarcoma,SARC_GENE_035,0.100150585,0.54866385,0.26069367,Not Significant
Leiomyosarcoma,SARC_GENE_124,-0.10604191,0.5588906,0.25267324,Not Significant
Leiomyosarcoma,SARC_GENE_142,0.08574629,0.5645138,0.24832545,Not Significant
Leiomyosarcoma,SARC_GENE_118,-0.084778786,0.5653515,0.24768145,Not Significant
Leiomyosarcoma,SARC_GENE_088,0.083722115,0.56847507,0.24528858,Not Significant
Leiomyosarcoma,RB1,-0.09088278,0.5727577,0.24202904,Not Significant
Leiomyosarcoma,SARC_GENE_107,0.074605465,0.57278204,0.24201061,Not Significant
Leiomyosarcoma,SARC_GENE_075,-0.07839203,0.5788753,0.23741497,Not Significant
Leiomyosarcoma,SARC_GENE_117,-0.079912186,0.5823539,0.23481302,Not Significant
Leiomyosarcoma,TP53,-0.09272671,0.58314437,0.2342239,Not Significant
Leiomyosarcoma,SARC_GENE_100,0.09378815,0.5863081,0.23187408,Not Significant
Leiomyosarcoma,SARC_GENE_022,-0.09213495,0.5914067,0.22811376,Not Significant
Leiomyosarcoma,SARC_GENE_137,-0.07503462,0.5945226,0.22583166,Not Significant
Leiomyosarcoma,SARC_GENE_077,0.08667898,0.6014202,0.22082196,Not Significant
Leiomyosarcoma,SARC_GENE_051,-0.068389416,0.6025374,0.220016,Not Significant
Leiomyosarcoma,SARC_GENE_132,-0.08357763,0.6055775,0.21783024,Not Significant
Leiomyosarcoma,MMP9,0.07775259,0.6074307,0.21650326,Not Significant
Leiomyosarcoma,SARC_GENE_099,-0.08227682,0.6088856,0.21546431,Not Significant
Leiomyosarcoma,SARC_GENE_169,0.073825836,0.6104246,0.214368,Not Significant
Leiomyosarcoma,SARC_GENE_152,-0.082616806,0.6122991,0.2130364,Not Significant
Leiomyosarcoma,SARC_GENE_122,-0.07791901,0.6219912,0.20621575,Not Significant
Leiomyosarcoma,SARC_GENE_141,-0.0729413,0.63665,0.19609925,Not Significant
Leiomyosarcoma,SARC_GENE_018,-0.07764578,0.63751215,0.19551155,Not Significant
Leiomyosarcoma,SARC_GENE_127,0.05759287,0.6523777,0.18550089,Not Significant
Leiomyosarcoma,SARC_GENE_094,-0.07936096,0.66492313,0.17722856,Not Significant
Leiomyosarcoma,SARC_GENE_138,-0.06487417,0.66721725,0.17573273,Not Significant
Leiomyosarcoma,SARC_GENE_172,-0.057465553,0.6723611,0.17239745,Not Significant
Leiomyosarcoma,SARC_GENE_165,0.06862974,0.67887807,0.16820823,Not Significant
Leiomyosarcoma,SARC_GENE_109,0.062324524,0.6812025,0.16672379,Not Significant
Leiomyosarcoma,SARC_GENE_170,-0.0678215,0.6816285,0.16645224,Not Significant
Leiomyosarcoma,SARC_GENE_033,0.06928778,0.68397593,0.16495918,Not Significant
Leiomyosarcoma,SARC_GENE_020,-0.07200289,0.685545,0.16396402,Not Significant
Leiomyosarcoma,SARC_GENE_076,-0.06107807,0.69739026,0.15652414,Not Significant
Leiomyosarcoma,SARC_GENE_158,0.056874752,0.70263755,0.15326865,Not Significant
Leiomyosarcoma,SARC_GENE_074,0.05141735,0.7030304,0.1530259,Not Significant
Leiomyosarcoma,SARC_GENE_167,0.055799484,0.71041656,0.14848693,Not Significant
Leiomyosarcoma,SARC_GENE_026,-0.055743217,0.7137831,0.14643376,Not Significant
Leiomyosarcoma,SARC_GENE_047,0.06758356,0.7169072,0.14453706,Not Significant
Leiomyosarcoma,SARC_GENE_145,-0.058458805,0.71756,0.14414178,Not Significant
Leiomyosarcoma,SARC_GENE_007,0.047806263,0.7337699,0.13444011,Not Significant
Leiomyosarcoma,SARC_GENE_066,-0.049412727,0.7385806,0.13160212,Not Significant
Leiomyosarcoma,SARC_GENE_017,0.055137157,0.7490522,0.12548791,Not Significant
Leiomyosarcoma,SARC_GENE_143,-0.05709982,0.7556379,0.12168628,Not Significant
Leiomyosarcoma,SARC_GENE_113,-0.05005741,0.76403636,0.11688598,Not Significant
Leiomyosarcoma,SARC_GENE_081,-0.043957233,0.76883864,0.1141648,Not Significant
Leiomyosarcoma,CDKN2A,0.0471735,0.772308,0.11220948,Not Significant
Leiomyosarcoma,SARC_GENE_034,0.04064846,0.775401,0.110473655,Not Significant
Leiomyosarcoma,SARC_GENE_177,-0.040134907,0.7807684,0.10747778,Not Significant
Leiomyosarcoma,SARC_GENE_173,-0.038506985,0.79524183,0.09950078,Not Significant
Leiomyosarcoma,SARC_GENE_091,-0.04623747,0.80993,0.0915525,Not Significant
Leiomyosarcoma,SARC_GENE_103,0.033352375,0.8161717,0.08821847,Not Significant
Leiomyosarcoma,SARC_GENE_110,0.040168762,0.8172625,0.087638445,Not Significant
Leiomyosarcoma,SARC_GENE_153,0.031239986,0.82983357,0.081009,Not Significant
Leiomyosarcoma,SARC_GENE_080,-0.031222343,0.83413124,0.078765616,Not Significant
Leiomyosarcoma,MMP2,-0.035361767,0.83546036,0.07807415,Not Significant
Leiomyosarcoma,SARC_GENE_032,-0.028912067,0.8425731,0.07439241,Not Significant
Leiomyosarcoma,SARC_GENE_068,-0.026664734,0.852354,0.06938,Not Significant
Leiomyosarcoma,SARC_GENE_006,-0.02372837,0.8724781,0.05924545,Not Significant
Leiomyosarcoma,SARC_GENE_043,-0.029427528,0.878447,0.05628444,Not Significant
Leiomyosarcoma,SARC_GENE_031,0.024751663,0.8808266,0.055109583,Not Significant
Leiomyosarcoma,SARC_GENE_123,0.020912647,0.8830965,0.05399183,Not Significant
Leiomyosarcoma,SARC_GENE_140,-0.021107197,0.8856434,0.0527411,Not Significant
Leiomyosarcoma,SARC_GENE_114,0.019251823,0.8969834,0.047215603,Not Significant
Leiomyosarcoma,MKI67,0.018043041,0.90501744,0.043343056,Not Significant
Leiomyosarcoma,SARC_GENE_004,0.019292355,0.9085061,0.041672155,Not Significant
Leiomyosarcoma,SARC_GENE_139,-0.020517826,0.91442454,0.03885213,Not Significant
Leiomyosarcoma,SARC_GENE_102,-0.015307426,0.92023903,0.036099352,Not Significant
Leiomyosarcoma,SARC_GENE_164,-0.013582706,0.93389237,0.029703176,Not Significant
Leiomyosarcoma,SARC_GENE_089,-0.012938499,0.9425258,0.025706753,Not Significant
Leiomyosarcoma,SARC_GENE_014,0.012931824,0.9439592,0.025046788,Not Significant
Leiomyosarcoma,SARC_GENE_082,-0.009624004,0.95053756,0.022030717,Not Significant
Leiomyosarcoma,SARC_GENE_078,0.0075826645,0.95854,0.01838975,Not Significant
Leiomyosarcoma,SARC_GENE_061,0.006419182,0.96840215,0.013944257,Not Significant
Leiomyosarcoma,SARC_GENE_174,0.0055155754,0.9693532,0.0135179525,Not Significant
Leiomyosarcoma,SARC_GENE_046,-0.0056290627,0.9729189,0.011923348,Not Significant
Leiomyosarcoma,SARC_GENE_119,-0.0047535896,0.977584,0.009845913,Not Significant
Leiomyosarcoma,SARC_GENE_155,0.003780365,0.98092484,0.008364266,Not Significant
Leiomyosarcoma,SARC_GENE_133,0.0029878616,0.98324496,0.0073382733,Not Significant
Leiomyosarcoma,SARC_GENE_062,-0.0020751953,0.986947,0.005706169,Not Significant
Leiomyosarcoma,SARC_GENE_176,-0.0020298958,0.98997045,0.0043777707,Not Significant
Liposarcoma,MDM2,3.14257,3.9600232e-27,26.402302,Upregulated
Liposarcoma,CDK4,3.0590281,2.823047e-26,25.549282,Upregulated
Liposarcoma,HMGA2,2.3998466,4.7828267e-23,22.320314,Upregulated
Liposarcoma,PPARG,2.7697196,1.0334078e-22,21.98573,Upregulated
Liposarcoma,CEBPA,2.11439,3.2428911e-21,20.489067,Upregulated
Liposarcoma,FABP4,2.9317894,5.3121587e-21,20.274729,Upregulated
Liposarcoma,LPL,2.0238752,3.7393741e-19,18.4272,Upregulated
Liposarcoma,ADIPOQ,1.98737,2.6817767e-16,15.571577,Upregulated
Liposarcoma,TPM2,-1.1784754,2.3354556e-09,8.631628,Downregulated
Liposarcoma,IBSP,-1.2429132,9.674298e-09,8.01438,Downregulated
Liposarcoma,DES,-1.2510428,3.036234e-08,7.517665,Downregulated
Liposarcoma,PAX3,-1.0360131,7.367113e-07,6.132703,Downregulated
Liposarcoma,MMP13,-0.8582549,7.5233095e-07,6.123591,Not Significant
Liposarcoma,PAX7,-1.0559053,7.6801865e-07,6.1146283,Downregulated
Liposarcoma,CNN1,-0.98096657,2.4420249e-06,5.61225,Not Significant
Liposarcoma,VEGFA,-0.8919349,1.3571332e-05,4.8673778,Not Significant
Liposarcoma,BGLAP,-0.8973713,1.456487e-05,4.8366933,Not Significant
Liposarcoma,COL1A1,-0.87059164,2.9258323e-05,4.5337505,Not Significant
Liposarcoma,ACTA2,-0.92804,3.376262e-05,4.471564,Not Significant
Liposarcoma,MYOD1,-0.83111954,4.43274e-05,4.3533278,Not Significant
Liposarcoma,ALPL,-0.9019189,5.513341e-05,4.258585,Not Significant
Liposarcoma,RUNX2,-0.80876684,6.6659806e-05,4.176136,Not Significant
Liposarcoma,TAGLN,-0.87531376,0.00017700918,3.7520041,Not Significant
Liposarcoma,MYOG,-0.8913698,0.00048466484,3.3145585,Not Significant
Liposarcoma,MYH11,-0.6806016,0.000650094,3.1870239,Not Significant
Liposarcoma,CALD1,-0.7335291,0.0008854726,3.052825,Not Significant
Liposarcoma,MYF5,-0.5606456,0.000978347,3.0095072,Not Significant
Liposarcoma,MYLK,-0.60670185,0.0014159066,2.8489654,Not Significant
Liposarcoma,SP7,-0.62637234,0.0014567692,2.8366094,Not Significant
Liposarcoma,MYH3,-0.6478181,0.0015650528,2.805471,Not Significant
Liposarcoma,TNNT3,-0.5929327,0.0021290411,2.6718159,Not Significant
Liposarcoma,SARC_GENE_058,0.38139725,0.015017223,1.8234104,Not Significant
Liposarcoma,SARC_GENE_170,0.2920065,0.021521948,1.6671184,Not Significant
Liposarcoma,SARC_GENE_177,0.40428782,0.024485651,1.6110883,Not Significant
Liposarcoma,SARC_GENE_176,-0.3656397,0.02711083,1.5668572,Not Significant
Liposarcoma,SARC_GENE_094,0.3213396,0.027998496,1.5528653,Not Significant
Liposarcoma,SARC_GENE_111,0.3426175,0.035832014,1.4457288,Not Significant
Liposarcoma,SARC_GENE_142,0.32931852,0.03590306,1.4448686,Not Significant
Liposarcoma,SARC_GENE_167,-0.30509806,0.044372026,1.3528907,Not Significant
Liposarcoma,SARC_GENE_078,0.2621045,0.053812806,1.2691144,Not Significant
Liposarcoma,SARC_GENE_024,0.26945925,0.061590664,1.2104851,Not Significant
Liposarcoma,SARC_GENE_148,-0.28454542,0.070328474,1.1528687,Not Significant
Liposarcoma,SARC_GENE_166,-0.27302217,0.071537115,1.1454686,Not Significant
Liposarcoma,SARC_GENE_128,-0.23847675,0.07765917,1.1098073,Not Significant
Liposarcoma,SARC_GENE_151,0.2646799,0.09072018,1.0422962,Not Significant
Liposarcoma,SARC_GENE_091,-0.2633791,0.094417214,1.0249488,Not Significant
Liposarcoma,SARC_GENE_126,-0.27240705,0.097290814,1.0119282,Not Significant
Liposarcoma,SARC_GENE_033,0.23476839,0.09975031,1.0010858,Not Significant
Liposarcoma,SARC_GENE_059,0.24251509,0.10054276,0.9976492,Not Significant
Liposarcoma,SARC_GENE_144,-0.25466442,0.10586795,0.97523546,Not Significant
Liposarcoma,SARC_GENE_125,-0.24280739,0.1184133,0.9265995,Not Significant
Liposarcoma,SARC_GENE_075,0.25725365,0.12144998,0.91560256,Not Significant
Liposarcoma,SARC_GENE_163,0.20838833,0.12769116,0.8938391,Not Significant
Liposarcoma,SARC_GENE_048,0.25085592,0.13787894,0.86050206,Not Significant
Liposarcoma,SARC_GENE_154,0.19930696,0.14615709,0.8351801,Not Significant
Liposarcoma,SARC_GENE_034,-0.23508072,0.14920892,0.82620525,Not Significant
Liposarcoma,BCL2,-0.23771477,0.14996408,0.82401276,Not Significant
Liposarcoma,SARC_GENE_175,-0.20312262,0.15544574,0.8084212,Not Significant
Liposarcoma,SARC_GENE_035,-0.23553896,0.15669444,0.8049464,Not Significant
Liposarcoma,SARC_GENE_016,-0.19240046,0.16133288,0.7922771,Not Significant
Liposarcoma,SARC_GENE_030,-0.22719574,0.16504975,0.7823851,Not Significant
Liposarcoma,SARC_GENE_132,0.2227006,0.16792554,0.7748833,Not Significant
Liposarcoma,SARC_GENE_008,0.26192522,0.16818847,0.7742038,Not Significant
Liposarcoma,SARC_GENE_135,0.18325186,0.17096119,0.7671025,Not Significant
Liposarcoma,SARC_GENE_031,0.2329607,0.17426947,0.7587787,Not Significant
Liposarcoma,SARC_GENE_039,-0.1947031,0.19590938,0.70794475,Not Significant
Liposarcoma,SARC_GENE_141,0.19423199,0.20157135,0.6955712,Not Significant
Liposarcoma,SARC_GENE_146,-0.19289827,0.20164292,0.69541705,Not Significant
Liposarcoma,SARC_GENE_003,0.2106409,0.20944117,0.678938,Not Significant
Liposarcoma,SARC_GENE_017,-0.19348526,0.21049142,0.6767656,Not Significant
Liposarcoma,PTEN,0.24111843,0.21224368,0.67316526,Not Significant
Liposarcoma,SARC_GENE_109,0.20193624,0.2247486,0.64830303,Not Significant
Liposarcoma,SARC_GENE_095,0.22466087,0.2309891,0.6364085,Not Significant
Liposarcoma,SARC_GENE_071,0.2147317,0.23767662,0.62401354,Not Significant
Liposarcoma,SARC_GENE_108,0.18129826,0.24672902,0.6077798,Not Significant
Liposarcoma,SARC_GENE_113,0.1949439,0.24956253,0.60282063,Not Significant
Liposarcoma,SARC_GENE_153,0.16367865,0.25327322,0.59641075,Not Significant
Liposarcoma,SARC_GENE_052,-0.16070747,0.26622888,0.5747448,Not Significant
Liposarcoma,SARC_GENE_087,0.17786837,0.270856,0.5672616,Not Significant
Liposarcoma,SARC_GENE_130,0.17678738,0.27466682,0.5611938,Not Significant
Liposarcoma,SARC_GENE_027,0.17895174,0.28031677,0.55235094,Not Significant
Liposarcoma,SARC_GENE_056,-0.15284252,0.29056287,0.5367599,Not Significant
Liposarcoma,SARC_GENE_074,-0.17397165,0.29442853,0.5310201,Not Significant
Liposarcoma,SARC_GENE_054,-0.16130114,0.2971754,0.52698714,Not Significant
Liposarcoma,SARC_GENE_069,0.15030718,0.3097242,0.50902486,Not Significant
Liposarcoma,SARC_GENE_083,-0.16172075,0.3109208,0.5073502,Not Significant
Liposarcoma,SARC_GENE_172,-0.15938854,0.31933847,0.49574876,Not Significant
Liposarcoma,SARC_GENE_079,-0.18497133,0.32087046,0.49367028,Not Significant
Liposarcoma,SARC_GENE_110,-0.16892767,0.32659286,0.48599333,Not Significant
Liposarcoma,SARC_GENE_105,0.15293121,0.33740342,0.4718505,Not Significant
Liposarcoma,SARC_GENE_097,0.13996172,0.3393799,0.46931386,Not Significant
Liposarcoma,SARC_GENE_098,0.15526009,0.3529322,0.4523087,Not Significant
Liposarcoma,SARC_GENE_057,-0.15348005,0.35355872,0.45153844,Not Significant
Liposarcoma,SARC_GENE_134,-0.1537199,0.35417673,0.45077997,Not Significant
Liposarcoma,SARC_GENE_156,-0.16830635,0.35553822,0.44911373,Not Significant
Liposarcoma,SARC_GENE_023,0.13451576,0.35668576,0.44771424,Not Significant
Liposarcoma,SARC_GENE_157,-0.14989614,0.36468267,0.43808487,Not Significant
Liposarcoma,SARC_GENE_014,0.13586283,0.36797276,0.4341843,Not Significant
Liposarcoma,SARC_GENE_073,-0.1584363,0.36974296,0.4321001,Not Significant
Liposarcoma,SARC_GENE_099,0.13247156,0.37551615,0.42537138,Not Significant
Liposarcoma,SARC_GENE_118,0.14224625,0.37757227,0.42299992,Not Significant
Liposarcoma,MKI67,0.13207865,0.38006446,0.42014274,Not Significant
Liposarcoma,SARC_GENE_061,-0.13668823,0.38697776,0.412314,Not Significant
Liposarcoma,TP53,0.13198614,0.40034127,0.39756966,Not Significant
Liposarcoma,SARC_GENE_158,-0.1428566,0.40315345,0.39452964,Not Significant
Liposarcoma,MMP2,-0.13189983,0.40415025,0.39345714,Not Significant
Liposarcoma,SARC_GENE_066,0.1285243,0.42391285,0.3727234,Not Significant
Liposarcoma,SARC_GENE_139,0.12647629,0.42471582,0.37190157,Not Significant
Liposarcoma,SARC_GENE_124,-0.13702106,0.42864993,0.36789724,Not Significant
Liposarcoma,SARC_GENE_025,-0.11842346,0.43179205,0.36472535,Not Significant
Liposarcoma,SARC_GENE_015,0.120923996,0.4343559,0.36215425,Not Significant
Liposarcoma,SARC_GENE_038,-0.13271284,0.43955773,0.35698408,Not Significant
Liposarcoma,SARC_GENE_133,-0.099227905,0.44291335,0.35368124,Not Significant
Liposarcoma,SARC_GENE_043,0.13522339,0.44392785,0.3526876,Not Significant
Liposarcoma,SARC_GENE_040,-0.12694693,0.45516232,0.3418337,Not Significant
Liposarcoma,SARC_GENE_010,0.13316917,0.45931408,0.33789024,Not Significant
Liposarcoma,SARC_GENE_104,-0.110230446,0.45945132,0.3377605,Not Significant
Liposarcoma,SARC_GENE_143,0.11515999,0.463085,0.3343393,Not Significant
Liposarcoma,SARC_GENE_051,0.09571457,0.4725704,0.3255335,Not Significant
Liposarcoma,SARC_GENE_022,-0.112641335,0.47469315,0.32358703,Not Significant
Liposarcoma,SARC_GENE_136,0.11134577,0.47618622,0.3222232,Not Significant
Liposarcoma,SARC_GENE_093,-0.102108955,0.48754853,0.31198215,Not Significant
Liposarcoma,SARC_GENE_026,-0.114275455,0.48768407,0.31186143,Not Significant
Liposarcoma,SARC_GENE_029,0.11206865,0.49270576,0.30741236,Not Significant
Liposarcoma,SARC_GENE_106,0.10404253,0.49896118,0.30193323,Not Significant
Liposarcoma,SARC_GENE_117,0.10332537,0.49982813,0.30117932,Not Significant
Liposarcoma,SARC_GENE_081,0.0970974,0.50805616,0.2940883,Not Significant
Liposarcoma,SARC_GENE_077,0.1119957,0.514115,0.28893974,Not Significant
Liposarcoma,SARC_GENE_164,-0.09851265,0.5232406,0.28129855,Not Significant
Liposarcoma,SARC_GENE_178,0.08526468,0.5336084,0.27277735,Not Significant
Liposarcoma,SARC_GENE_037,0.11957264,0.53402036,0.2724422,Not Significant
Liposarcoma,SARC_GENE_005,-0.08745813,0.5426736,0.2654613,Not Significant
Liposarcoma,SARC_GENE_044,0.11143875,0.5427775,0.26537818,Not Significant
Liposarcoma,SARC_GENE_053,-0.09229803,0.54382753,0.26453882,Not Significant
Liposarcoma,SARC_GENE_165,-0.08573723,0.5520619,0.2580122,Not Significant
Liposarcoma,SARC_GENE_138,0.08960867,0.5556826,0.2551732,Not Significant
Liposarcoma,SARC_GENE_007,-0.09346199,0.5568371,0.25427186,Not Significant
Liposarcoma,SARC_GENE_070,0.08712244,0.5580447,0.25333104,Not Significant
Liposarcoma,SARC_GENE_122,0.08677435,0.5677589,0.24583605,Not Significant
Liposarcoma,SARC_GENE_152,-0.10030317,0.5721144,0.24251713,Not Significant
Liposarcoma,SARC_GENE_089,0.08775997,0.57282245,0.24197997,Not Significant
Liposarcoma,SARC_GENE_021,0.08656263,0.57291454,0.24191016,Not Significant
Liposarcoma,SARC_GENE_019,0.07741451,0.5737386,0.24128596,Not Significant
Liposarcoma,SARC_GENE_129,-0.07666588,0.5848709,0.23294002,Not Significant
Liposarcoma,SARC_GENE_101,-0.08754015,0.58495855,0.23287492,Not Significant
Liposarcoma,SARC_GENE_160,0.06795311,0.60679764,0.21695612,Not Significant
Liposarcoma,SARC_GENE_018,0.07839823,0.6128949,0.212614,Not Significant
Liposarcoma,RB1,0.081841946,0.6214965,0.20656133,Not Significant
Liposarcoma,SARC_GENE_001,-0.06321335,0.6275963,0.20231962,Not Significant
Liposarcoma,SARC_GENE_076,0.07899952,0.62848204,0.20170714,Not Significant
Liposarcoma,SARC_GENE_121,0.058297157,0.6433679,0.19154063,Not Significant
Liposarcoma,SARC_GENE_123,0.05476904,0.64929,0.18756127,Not Significant
Liposarcoma,SARC_GENE_060,0.06890535,0.655688,0.18330278,Not Significant
Liposarcoma,SARC_GENE_045,-0.07846832,0.68563443,0.16390738,Not Significant
Liposarcoma,SARC_GENE_169,-0.06178093,0.6861593,0.16357504,Not Significant
Liposarcoma,SARC_GENE_012,0.0646615,0.69317883,0.15915471,Not Significant
Liposarcoma,SARC_GENE_055,-0.064198494,0.6938512,0.15873368,Not Significant
Liposarcoma,SARC_GENE_179,-0.055062294,0.6945907,0.15827104,Not Significant
Liposarcoma,SARC_GENE_062,0.063435555,0.698601,0.1557708,Not Significant
Liposarcoma,SARC_GENE_150,-0.06552696,0.70410645,0.15236168,Not Significant
Liposarcoma,SARC_GENE_002,0.05153656,0.7144153,0.14604925,Not Significant
Liposarcoma,SARC_GENE_171,0.05037594,0.71493053,0.14573616,Not Significant
Liposarcoma,SARC_GENE_032,-0.05039406,0.719624,0.14289437,Not Significant
Liposarcoma,SARC_GENE_103,0.053004265,0.7261432,0.13897774,Not Significant
Liposarcoma,SARC_GENE_173,-0.048271656,0.7364051,0.13288322,Not Significant
Liposarcoma,SARC_GENE_090,-0.056361675,0.73956,0.13102658,Not Significant
Liposarcoma,SARC_GENE_112,-0.05404377,0.74390745,0.1284811,Not Significant
Liposarcoma,SARC_GENE_102,0.055814743,0.7448924,0.12790646,Not Significant
Liposarcoma,SARC_GENE_084,0.056337357,0.7450801,0.12779704,Not Significant
Liposarcoma,SARC_GENE_065,-0.047168255,0.7526803,0.12338946,Not Significant
Liposarcoma,SARC_GENE_137,-0.050201416,0.756285,0.1213145,Not Significant
Liposarcoma,SARC_GENE_096,-0.051919937,0.7569216,0.12094911,Not Significant
Liposarcoma,SARC_GENE_120,-0.045578957,0.761583,0.11828278,Not Significant
Liposarcoma,SARC_GENE_086,0.04189253,0.7627069,0.11764234,Not Significant
Liposarcoma,SARC_GENE_162,-0.050946236,0.76389486,0.11696643,Not Significant
Liposarcoma,SARC_GENE_114,-0.045604706,0.7649304,0.11637806,Not Significant
Liposarcoma,SARC_GENE_006,0.049090862,0.76852745,0.11434062,Not Significant
Liposarcoma,SARC_GENE_107,0.0415473,0.76936233,0.11386909,Not Significant
Liposarcoma,SARC_GENE_067,0.04487562,0.7718192,0.11248443,Not Significant
Liposarcoma,SARC_GENE_080,-0.040242195,0.77476466,0.11083021,Not Significant
Liposarcoma,SARC_GENE_009,-0.04253149,0.77953374,0.108165085,Not Significant
Liposarcoma,SARC_GENE_064,0.046173096,0.7801381,0.10782853,Not Significant
Liposarcoma,SARC_GENE_042,0.0503397,0.7853327,0.10494633,Not Significant
Liposarcoma,SARC_GENE_041,-0.045181274,0.7857651,0.10470726,Not Significant
Liposarcoma,CDKN2A,-0.04186058,0.7957241,0.099237494,Not Significant
Liposarcoma,SARC_GENE_050,0.04125595,0.799132,0.09738149,Not Significant
Liposarcoma,SARC_GENE_013,0.045211792,0.8015489,0.096069984,Not Significant
Liposarcoma,SARC_GENE_116,-0.038785934,0.80196583,0.09584414,Not Significant
Liposarcoma,SARC_GENE_119,-0.03705883,0.8073973,0.09291271,Not Significant
Liposarcoma,SARC_GENE_049,-0.035300255,0.82046086,0.085942134,Not Significant
Liposarcoma,SARC_GENE_092,0.032703876,0.8224221,0.08490524,Not Significant
Liposarcoma,SARC_GENE_047,-0.03330326,0.835887,0.07785242,Not Significant
Liposarcoma,SARC_GENE_020,-0.032685757,0.83856326,0.07646417,Not Significant
Liposarcoma,SARC_GENE_127,-0.026015759,0.8442799,0.07351356,Not Significant
Liposarcoma,SARC_GENE_140,-0.02804041,0.84889746,0.07114477,Not Significant
Liposarcoma,SARC_GENE_180,0.02750206,0.86813325,0.061413612,Not Significant
Liposarcoma,SARC_GENE_145,0.018090248,0.88855773,0.05131435,Not Significant
Liposarcoma,SARC_GENE_046,-0.026109695,0.8886067,0.051290404,Not Significant
Liposarcoma,SARC_GENE_028,-0.021943092,0.89083284,0.05020378,Not Significant
Liposarcoma,SARC_GENE_115,0.015338898,0.9021016,0.044744562,Not Significant
Liposarcoma,SARC_GENE_088,-0.019124985,0.9069358,0.04242345,Not Significant
Liposarcoma,SARC_GENE_082,-0.017786503,0.9070558,0.042365998,Not Significant
Liposarcoma,SARC_GENE_100,0.015613556,0.9173829,0.03744936,Not Significant
Liposarcoma,SARC_GENE_174,-0.012145519,0.9347788,0.029291142,Not Significant
Liposarcoma,SARC_GENE_147,-0.010229588,0.94107795,0.026374403,Not Significant
